source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
3326731932039230720,100.5832907710183,9.87279970711798,1.3301544759428539,-8.368385643064961,-7.1351592654538445,1.024712,14.361188,1.0407715,85.97946,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,5081.7544,4.2444,-0.6815,782.4553,0.1113,0.0901,0.0485
3326731932039230976,100.57649799382384,9.878383247258846,3.7374477497236245,-2.318202763122512,1.4495837072750692,1.034059,13.537336,1.2055321,45.707355,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4767.978,4.5576,-0.0165,280.4693,0.0871,0.0682,0.0359
3326731966398959232,100.58671680592352,9.890690668659605,1.4116417248326207,2.264528698342812,-3.5101515319929986,0.93386513,12.866933,0.7595825,49.17998,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,5973.9463,4.1799,-0.3669,675.2101,0.0403,0.0341,0.0184
3326731996461275904,100.61458956773194,9.881913274696482,1.141476203525889,-3.047823957349577,-3.3338703859042518,0.9386449,11.679358,0.46672535,41.120804,"NOT_AVAILABLE",0,true,true,true,false,false,false,true,,,,,,,
3326732065181582976,100.59787046415482,9.895133193260024,1.2094350992641374,-5.362511484072569,-0.8795358459929117,1.0784067,14.7878475,1.1553087,4.6664305,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,6016.991,4.3698,-0.7026,735.9947,1.031,0.8493,0.4641
3326732133901041280,100.56902737296606,9.88262937728014,0.17337712970703587,-1.4034251167135838,-0.6246870238361815,1.1682422,14.155956,1.632101,89.29781,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,6098.3994,2.9918,-0.4166,2790.6165,2.2147,1.7511,0.9568
3326732168260788608,100.57983523582334,9.890664560258063,1.0113274808297708,-0.2998420228673503,-6.345202915494903,1.0082701,14.887157,1.3078175,11.479198,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,6060.096,4.2307,-1.1244,898.6777,1.4126,1.1517,0.6344
3326732309996321536,100.60831313218598,9.915268909233962,1.838080445327767,6.759131299584669,2.1119132919651014,0.951591,13.822778,0.8882141,103.486565,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5601.6787,4.4579,-0.2716,528.2971,0.124,0.1031,0.0553
3326732477497610496,100.63258255600287,9.915617760632582,1.0400458149356533,-0.5751940607984593,-2.46823973674459,7.4417295,12.048159,0.6469345,12.169367,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,6458.6226,4.3094,-0.3569,425.9431,0.1314,0.1141,0.0615
3326732511858226944,100.64086233000398,9.927051441907564,0.23997070618406255,0.6098775232057182,0.17384791588598883,1.3681493,12.926933,2.8294716,82.3471,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4912.4375,2.2885,-0.0417,1567.3091,4.5718,3.1805,1.7347
3326732516154740224,100.62432281013157,9.924795906862496,1.7130373121652884,2.934576126592188,-5.378759765235559,1.1116338,12.6146,0.66309834,30.694656,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,6241.768,4.2912,-0.0906,558.9726,0.0377,0.0324,0.0174
3326732683656921472,100.61516019004422,9.92848690730253,0.8381891122152427,-4.005899574342225,-10.093978820797709,1.1095154,14.967574,1.4569244,-16.080082,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,5140.123,4.1497,-0.5205,890.9345,1.1331,0.8841,0.4758
3326732722313170176,100.61903763338546,9.930809245651913,2.139898410566379,36.65702370123311,-30.662372836084884,1.1067159,13.996795,0.96027756,22.743614,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,5455.374,4.6278,-0.4305,428.1198,0.1938,0.1596,0.0858
3326732889814469760,100.6280812256388,9.95597613432959,2.6830925912035712,-5.736685374034386,-10.037799828272796,1.0676957,13.587,1.0659809,-16.548449,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,5068.8486,4.5215,-0.0134,365.2898,0.077,0.0618,0.0327
3326733267771592192,100.71075270506687,9.939497889344192,1.9084495357901619,-6.454046516176464,-3.279021680035085,1.1909974,12.517209,0.67254066,21.67206,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,6198.1157,4.2441,-0.4491,504.5489,0.0469,0.0404,0.0219
3326733443867624064,100.71162608553409,9.953165817690675,0.16801656232640694,0.8410436034462826,-0.7538596844581988,1.1266735,15.36207,2.1834202,97.91685,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,5993.5776,3.3279,-0.0672,1960.3123,3.5151,2.6363,1.4413
3326734131062412160,100.66506642659004,9.958818466038057,1.2329408945828069,-7.2359145762862,4.597345749408843,0.91504616,13.779304,0.93266106,-23.140903,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,6136.025,4.1879,-0.4777,756.9869,0.5847,0.4924,0.2675
3326734234142040064,100.71541466512751,9.967170432767473,0.5442253620009697,0.27067502046012815,-2.5958603654825385,1.2981553,12.749318,1.6438951,8.258793,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4765.8423,2.4387,-0.3284,1948.5775,1.2565,0.9507,0.5074
3326734332924414976,100.6582958194217,9.968386191409385,1.3859628900729983,3.1371046331410106,-0.5687557973010519,0.96426857,12.979464,0.72810555,85.7201,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,6007.9175,4.1851,-0.4586,704.9992,0.0537,0.0458,0.0248
3326734405940318208,100.64897717567452,9.974697889052818,0.326737605205013,-1.140099506584705,-0.4445859393957177,1.0135815,14.759627,1.7619514,58.110207,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4931.3193,3.1997,0.0131,1993.8682,1.7196,1.2959,0.6912
3326734680818189056,100.71097052811812,9.9848527921003,0.8701460211998884,0.3490513189123615,-0.17589081925809594,1.0077802,13.751387,1.0554199,-43.878555,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,6616.0728,3.7888,-0.4614,1362.6838,1.1549,0.9735,0.53
3326734886976615936,100.69897262813903,10.002103679911842,0.17669104748024522,-0.12902379553915644,0.09677888023270559,1.0931679,14.345851,2.19695,85.639725,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,5320.324,2.7869,-0.0844,2506.856,3.1152,2.2864,1.2357
3350959632101261184,100.5493071443263,10.220761272970002,1.3778693574388867,4.873330670558469,-15.915751614033487,0.9131004,14.020976,0.82091904,-42.225487,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,5784.933,4.4055,-0.4478,656.6154,0.1043,0.0879,0.0474
3350959670757954176,100.53344383774657,10.21627361451517,0.8711414211124812,0.4684083853236877,-4.257381757680245,1.2090816,14.899665,1.4753523,8.652209,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,7858.2163,4.3373,-0.1437,1027.1647,2.703,2.2481,1.2237
3350961075210270976,100.48509032002909,10.280614308710737,2.450898735674362,-2.4096535413510933,-13.699789112266812,1.0138772,13.392527,0.9533186,-9.5241375,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5324.406,4.4881,-0.0981,402.8499,0.0549,0.0448,0.0238
3350767256222989312,100.66133910103986,10.107188925382303,1.545487576024023,-4.204600395109761,-2.5508035450997175,2.6876853,8.606751,1.1456265,33.11627,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4795.9863,2.4128,-0.2503,574.0409,0.0052,0.0041,0.0022
3350770486038394624,100.63563547121613,10.135524109176666,1.3532850038283029,-2.740122802820849,-0.6042642998492821,1.1028606,13.620614,0.75267696,21.388926,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5902.8003,4.2898,-0.3698,692.023,0.034,0.0288,0.0156
3350770795276039168,100.619285298368,10.157091321160198,1.3490624066034873,-1.2886703858749045,-3.415071918965176,1.1135507,11.8901825,0.49001408,23.16351,"VARIABLE",0,false,false,true,true,false,true,true,7100.95,4.0611,-0.4163,710.1083,0.1373,0.1228,0.066
3350770829635777792,100.60989317231814,10.161765762870973,0.7183488499357619,0.6069572683532114,-3.9602310339190407,1.0045667,11.444727,2.1326418,22.021126,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
3350771619909758592,100.60139665940748,10.182654468325506,0.44386863263872006,1.6382060201184716,-0.6825217414471971,2.2505505,14.252869,1.251626,-9.607581,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,7309.807,3.8245,-0.5724,1528.7557,1.9641,1.653,0.9018
3350771959211241472,100.56074831513106,10.209433762409956,1.737044203589831,-4.107189574374343,4.120811319772202,1.0791262,12.127918,0.83168983,42.784584,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5584.637,4.0503,-0.359,558.7949,0.001,8.0E-4,4.0E-4
